i,t,ball_found,ball_x,ball_y,vx,vy,paddle_cx,target,key
107,2.504,0,,,0.0,0.0,627,,
108,2.52,1,618,196,0.0,0.0,627,618,
109,2.537,0,,,0.0,0.0,627,618,
110,2.554,0,,,0.0,0.0,627,618,
111,2.57,0,,,0.0,0.0,627,618,
112,2.587,0,,,0.0,0.0,627,,
113,2.604,0,,,0.0,0.0,627,,
114,2.619,0,,,0.0,0.0,627,,
115,2.637,0,,,0.0,0.0,627,,
116,2.653,0,,,0.0,0.0,627,,
117,2.671,1,618,196,0.0,0.0,627,618,
118,2.688,0,,,0.0,0.0,627,618,
119,2.721,0,,,0.0,0.0,627,618,
120,2.737,0,,,0.0,0.0,627,618,
121,2.753,0,,,0.0,0.0,627,,
122,2.77,0,,,0.0,0.0,627,,
123,2.786,0,,,0.0,0.0,627,,
124,2.806,1,647,756,0.0,0.0,627,647,right
125,2.857,1,618,196,-574.4,-11092.8,627,618,
126,2.901,1,509,619,-1437.5,-1678.3,627,509,left
127,2.933,1,509,617,-1236.3,-218.3,627,509,left
128,2.955,1,507,616,-1106.4,4200.3,627,464,left
129,2.97,1,508,614,-22.2,-67.9,627,508,left
130,2.988,1,506,612,-45.6,-93.0,627,506,left
131,3.022,1,507,612,-7.2,-57.4,627,507,left
132,3.055,1,641,754,1463.7,1537.4,627,663,right
133,3.131,1,637,754,0.0,0.0,627,637,
134,3.174,1,618,196,-442.3,-12990.0,627,618,
135,3.205,0,,,0.0,0.0,627,618,
136,3.237,0,,,0.0,0.0,627,618,
137,3.254,0,,,0.0,0.0,627,618,
138,3.27,0,,,0.0,0.0,627,,
139,3.287,0,,,0.0,0.0,627,,
140,3.305,0,,,0.0,0.0,627,,
141,3.32,0,,,0.0,0.0,627,,
142,3.337,0,,,0.0,0.0,627,,
143,3.353,1,618,196,0.0,0.0,627,618,
144,3.371,0,,,0.0,0.0,627,618,
145,3.388,0,,,0.0,0.0,627,618,
146,3.404,0,,,0.0,0.0,627,618,
147,3.421,0,,,0.0,0.0,627,,
148,3.438,1,645,782,0.0,0.0,628,645,right
149,3.494,1,613,762,-577.1,-360.7,630,613,left
150,3.559,1,640,714,0.0,0.0,633,640,
151,3.604,1,662,700,493.0,-313.7,623,662,right
152,3.637,1,678,692,490.5,-285.6,619,678,right
153,3.655,1,681,700,444.7,-179.3,634,681,right
154,3.688,1,683,692,246.4,-71.6,642,683,right
155,3.705,1,677,685,0.0,0.0,658,677,right
156,3.738,1,664,668,-384.8,-503.3,678,664,left
157,3.813,1,661,623,-130.6,-579.6,712,661,left
158,3.837,1,665,615,0.0,0.0,701,665,left
159,3.853,1,665,588,0.0,-1697.2,695,665,left
160,3.871,1,715,592,1517.0,-671.2,689,715,right
161,3.923,1,690,610,0.0,0.0,678,690,
162,3.977,1,688,648,-36.9,701.2,696,681,left
163,4.021,1,695,690,0.0,0.0,698,695,
164,4.054,1,711,715,480.2,750.4,683,751,right
165,4.087,1,736,730,621.5,607.4,683,762,right
166,4.104,1,738,738,555.3,569.3,692,770,right
167,4.122,1,755,741,616.9,399.2,704,735,right
168,4.154,1,757,749,344.8,268.1,712,753,right
169,4.171,1,761,740,289.8,71.6,721,633,left
170,4.219,1,750,750,0.0,0.0,724,750,right
171,4.273,1,743,779,-128.2,531.3,715,743,right
172,4.305,1,730,772,-221.1,286.8,717,725,
173,4.352,1,727,779,-186.6,199.5,717,727,
174,4.371,1,729,774,0.0,0.0,717,729,
175,4.388,1,739,773,581.5,-58.1,717,739,right
176,4.417,1,756,754,587.5,-458.1,722,756,right
177,4.438,1,754,736,0.0,0.0,724,754,right
178,4.472,1,763,707,267.6,-862.1,724,763,right
179,4.504,1,761,699,0.0,0.0,724,761,right
180,4.522,1,758,658,-169.8,-2320.1,724,758,right
181,4.556,1,740,630,-423.4,-1268.5,724,740,right
182,4.588,1,722,624,-482.6,-845.3,724,722,
183,4.626,1,710,610,-468.9,-435.1,724,710,left
184,4.669,1,709,616,-269.5,-142.7,724,709,left
185,4.688,1,747,616,163.4,-55.9,715,747,right
186,4.757,1,710,660,0.0,0.0,706,710,
187,4.8,1,697,665,-299.3,115.1,718,403,left
188,4.845,1,693,674,-193.8,160.0,710,566,left
189,4.871,1,691,682,-162.0,191.3,705,609,left
190,4.887,1,710,674,0.0,0.0,699,710,
191,4.921,1,722,702,350.1,817.0,677,754,right
192,4.977,1,728,740,192.9,734.4,684,737,right
193,5.005,1,727,779,140.1,852.6,694,726,right
194,5.038,1,711,774,-73.1,679.5,710,710,
195,5.086,1,707,783,-214.9,319.3,749,710,left
196,5.119,1,690,781,-287.6,42.9,724,710,left
197,5.138,1,719,781,0.0,0.0,717,719,
198,5.174,1,707,748,-327.9,-901.8,704,707,
199,5.204,1,703,742,-243.0,-595.9,702,703,
200,5.22,1,682,716,-387.8,-706.9,700,682,left
201,5.251,1,674,700,-466.2,-666.5,700,674,left
202,5.271,1,656,694,-625.9,-678.0,699,656,left
203,5.287,1,652,684,-485.1,-466.6,693,652,left
204,5.305,1,636,680,-671.6,-393.3,679,636,left
205,5.337,1,633,696,-373.2,56.5,671,298,left
206,5.353,1,629,686,-300.9,120.3,661,398,left
207,5.372,1,635,679,0.0,0.0,641,635,
208,5.416,1,648,662,297.9,-389.5,621,648,right
209,5.46,1,651,625,182.5,-616.7,620,651,right
210,5.488,1,645,590,0.0,0.0,632,645,right
211,5.52,1,595,589,-1564.1,-31.3,640,595,left
212,5.581,1,618,606,0.0,0.0,668,618,left
213,5.604,1,614,614,-173.0,346.0,657,532,left
214,5.622,1,618,644,0.0,0.0,643,618,left
215,5.654,1,614,652,-124.0,248.1,635,551,left
216,5.671,1,611,684,-139.6,738.0,627,593,left
217,5.688,1,603,702,-211.9,901.3,607,585,left
218,5.721,1,589,719,-388.9,957.3,599,565,left
219,5.737,1,585,727,-400.7,625.4,587,552,left
220,5.755,1,560,742,-589.2,582.0,565,523,left
221,5.788,1,543,747,-729.9,424.5,539,489,left
222,5.819,1,541,751,-504.7,258.6,531,488,left
223,5.836,1,537,761,-263.0,209.9,517,515,
224,5.867,1,529,760,-179.7,183.6,487,511,right
225,5.9,1,540,762,0.0,0.0,467,540,right
226,5.921,1,538,770,-95.0,379.9,474,536,right
227,5.938,1,552,776,0.0,0.0,479,552,right
228,5.97,1,563,776,341.6,0.0,485,563,right
229,5.987,1,568,770,329.5,-106.2,493,568,right
230,6.004,1,570,762,283.4,-203.4,503,570,right
231,6.021,1,571,776,154.3,-46.3,513,571,right
232,6.037,1,575,768,130.3,48.0,523,602,right
233,6.054,1,565,767,0.0,0.0,540,565,right
234,6.07,1,567,763,118.8,-237.7,548,567,right
235,6.086,1,571,753,182.3,-425.1,560,571,
236,6.12,1,558,734,0.0,0.0,586,558,left
237,6.153,1,551,705,-212.0,-878.1,602,551,left
238,6.17,1,555,697,0.0,0.0,595,555,left
239,6.186,1,555,670,0.0,-1623.7,589,555,left
240,6.203,1,557,662,59.6,-1036.7,583,557,left
241,6.221,1,580,636,455.3,-1122.4,575,580,
242,6.251,1,602,620,776.6,-812.3,557,602,right
243,6.284,1,608,604,612.7,-670.1,553,608,right
244,6.304,1,620,606,441.8,-384.8,564,620,right
245,6.319,1,622,600,315.2,-271.7,568,622,right
246,6.337,1,624,592,295.1,-236.8,576,624,right
247,6.355,1,589,616,0.0,0.0,592,589,
248,6.405,1,628,650,767.9,669.4,616,773,right
249,6.45,1,634,666,481.6,530.5,620,735,right
250,6.471,1,647,663,465.2,422.6,622,773,right
251,6.488,1,655,662,324.8,151.4,634,644,
252,6.537,1,661,680,287.2,179.5,650,730,right
253,6.571,1,634,692,0.0,0.0,658,634,left
254,6.638,1,634,738,0.0,687.4,659,634,left
255,6.67,1,639,770,42.8,774.8,655,639,left
256,6.685,1,641,776,59.0,757.8,651,641,
257,6.715,1,661,772,341.2,449.3,633,665,right
258,6.759,0,,,0.0,0.0,635,665,right
259,6.788,0,,,0.0,0.0,646,665,right
260,6.821,1,663,780,152.0,53.5,652,657,
261,6.858,1,681,748,173.4,-99.8,674,681,
262,6.888,1,704,724,213.8,-242.1,678,704,right
263,6.924,1,736,704,711.3,-742.1,678,736,right
264,6.954,1,740,696,645.9,-541.5,682,740,right
265,6.972,1,760,694,605.3,-358.8,696,760,right
266,7.004,1,764,686,384.3,-218.4,704,764,right
267,7.019,1,768,704,372.4,45.2,712,219,left
268,7.078,1,768,684,72.6,-79.7,724,768,right
269,7.143,1,741,637,-165.6,-400.3,718,741,right
270,7.172,1,729,604,-269.7,-649.0,723,729,
271,7.21,1,738,574,0.0,0.0,724,738,right
272,7.253,1,723,582,-345.1,184.1,724,355,left
273,7.308,1,734,626,0.0,0.0,717,734,right
274,7.375,1,703,689,-466.5,948.1,719,659,left
275,7.43,1,668,710,-540.9,700.6,724,615,left
276,7.453,1,664,718,-506.5,627.3,716,615,left
277,7.47,1,649,713,-540.0,285.1,714,525,left
278,7.487,1,643,721,-465.2,150.8,705,467,left
279,7.504,1,635,712,-554.2,-59.4,697,635,left
280,7.521,1,631,720,-366.6,72.3,689,336,left
281,7.537,1,625,728,-348.0,172.9,681,524,left
282,7.554,1,634,726,0.0,0.0,661,634,left
283,7.587,1,646,736,373.0,310.8,651,696,right
284,7.638,1,635,775,0.0,0.0,628,635,
285,7.682,1,618,196,-390.2,-13288.4,663,618,left
286,7.726,1,588,773,-537.1,-2.5,631,588,left
287,7.753,1,590,772,0.0,0.0,627,590,left
288,7.77,1,605,783,895.9,657.0,621,598,left
289,7.788,1,601,757,0.0,0.0,606,601,
290,7.836,1,595,724,-125.0,-687.4,590,595,
291,7.854,1,591,716,-146.1,-634.9,584,591,
292,7.869,1,587,706,-167.7,-630.9,579,587,
293,7.887,1,566,684,-551.8,-783.1,579,566,left
294,7.924,1,538,660,-798.4,-819.4,579,538,left
295,7.952,1,534,654,-638.3,-611.6,577,534,left
296,7.969,1,522,658,-504.1,-336.5,569,522,left
297,7.987,1,516,648,-365.2,-156.5,561,516,left
