i,t,ball_found,ball_x,ball_y,vx,vy,paddle_cx,target,key
0,0.0,1,480,380,0.0,0.0,479,480,
1,0.055,0,,,0.0,0.0,479,480,
2,0.089,0,,,0.0,0.0,479,480,
3,0.123,0,,,0.0,0.0,479,480,
4,0.154,0,,,0.0,0.0,479,,
5,0.172,1,618,196,0.0,0.0,479,618,right
6,0.21,0,,,0.0,0.0,482,618,right
7,0.238,1,487,783,-1968.9,8822.3,492,488,
8,0.286,1,503,783,0.0,0.0,508,503,
9,0.306,1,509,783,300.4,0.0,514,509,
10,0.339,1,618,196,2285.1,-11756.9,514,618,right
11,0.396,0,,,0.0,0.0,514,618,right
12,0.423,1,519,783,0.0,0.0,524,519,
13,0.473,1,539,783,401.7,0.0,544,539,
14,0.505,1,541,783,278.3,0.0,546,541,
15,0.539,0,,,0.0,0.0,546,541,
16,0.57,0,,,0.0,0.0,546,541,
17,0.587,0,,,0.0,0.0,546,541,
18,0.605,0,,,0.0,0.0,546,,
19,0.62,0,,,0.0,0.0,546,,
20,0.638,0,,,0.0,0.0,546,,
21,0.655,1,618,196,0.0,0.0,546,618,right
22,0.704,0,,,0.0,0.0,546,618,right
23,0.722,1,547,783,-1058.5,8751.6,552,547,
24,0.771,1,561,783,0.0,0.0,566,561,
25,0.788,1,567,783,336.2,0.0,572,567,
26,0.822,0,,,0.0,0.0,572,567,
27,0.853,1,618,196,713.8,-7606.4,572,618,right
28,0.891,0,,,0.0,0.0,572,618,right
29,0.92,1,569,783,0.0,0.0,574,569,
30,0.957,1,591,783,603.0,0.0,596,591,
31,0.988,1,595,783,389.8,0.0,600,595,
32,1.006,1,618,196,509.2,-5279.2,600,618,right
33,1.056,0,,,0.0,0.0,600,618,right
34,1.087,1,599,783,0.0,0.0,604,599,
35,1.122,1,621,783,625.3,0.0,626,621,
36,1.154,1,623,783,357.6,0.0,628,623,
37,1.172,1,625,783,288.2,0.0,630,625,
38,1.206,0,,,0.0,0.0,630,625,
39,1.238,0,,,0.0,0.0,630,625,
40,1.252,0,,,0.0,0.0,630,625,
41,1.27,0,,,0.0,0.0,630,,
42,1.287,0,,,0.0,0.0,630,,
43,1.304,0,,,0.0,0.0,630,,
44,1.32,0,,,0.0,0.0,630,,
45,1.338,1,618,196,0.0,0.0,630,618,
46,1.371,0,,,0.0,0.0,630,618,
47,1.404,0,,,0.0,0.0,627,618,
48,1.421,0,,,0.0,0.0,627,618,
49,1.438,0,,,0.0,0.0,627,,
50,1.453,0,,,0.0,0.0,627,,
51,1.47,0,,,0.0,0.0,627,,
52,1.487,0,,,0.0,0.0,627,,
53,1.504,1,618,196,0.0,0.0,627,618,
54,1.522,0,,,0.0,0.0,627,618,
55,1.554,0,,,0.0,0.0,627,618,
56,1.57,0,,,0.0,0.0,627,618,
57,1.588,0,,,0.0,0.0,627,,
58,1.621,0,,,0.0,0.0,627,,
59,1.637,0,,,0.0,0.0,627,,
60,1.653,0,,,0.0,0.0,627,,
61,1.67,1,618,196,0.0,0.0,627,618,
62,1.688,0,,,0.0,0.0,627,618,
63,1.72,0,,,0.0,0.0,627,618,
64,1.737,0,,,0.0,0.0,627,618,
65,1.754,0,,,0.0,0.0,627,,
66,1.77,0,,,0.0,0.0,627,,
67,1.788,0,,,0.0,0.0,627,,
68,1.803,0,,,0.0,0.0,627,,
69,1.821,1,618,196,0.0,0.0,627,618,
70,1.855,0,,,0.0,0.0,627,618,
71,1.887,0,,,0.0,0.0,627,618,
72,1.903,0,,,0.0,0.0,627,618,
73,1.92,0,,,0.0,0.0,627,,
74,1.937,0,,,0.0,0.0,627,,
75,1.953,0,,,0.0,0.0,627,,
76,1.971,0,,,0.0,0.0,627,,
77,1.988,1,618,196,0.0,0.0,627,618,
78,2.021,0,,,0.0,0.0,627,618,
79,2.037,0,,,0.0,0.0,627,618,
80,2.053,0,,,0.0,0.0,627,618,
81,2.069,0,,,0.0,0.0,627,,
82,2.087,0,,,0.0,0.0,627,,
83,2.104,0,,,0.0,0.0,627,,
84,2.119,0,,,0.0,0.0,627,,
85,2.137,0,,,0.0,0.0,627,,
86,2.154,0,,,0.0,0.0,627,,
87,2.169,0,,,0.0,0.0,627,,
88,2.186,1,618,196,0.0,0.0,627,618,
89,2.204,0,,,0.0,0.0,627,618,
90,2.219,0,,,0.0,0.0,627,618,
91,2.236,0,,,0.0,0.0,627,618,
92,2.254,0,,,0.0,0.0,627,,
93,2.27,0,,,0.0,0.0,627,,
94,2.287,0,,,0.0,0.0,627,,
95,2.304,0,,,0.0,0.0,627,,
96,2.32,0,,,0.0,0.0,627,,
97,2.337,1,618,196,0.0,0.0,627,618,
98,2.353,0,,,0.0,0.0,627,618,
99,2.37,0,,,0.0,0.0,627,618,
100,2.386,0,,,0.0,0.0,627,618,
101,2.404,0,,,0.0,0.0,627,,
102,2.419,0,,,0.0,0.0,627,,
103,2.438,0,,,0.0,0.0,627,,
104,2.454,0,,,0.0,0.0,627,,
105,2.47,0,,,0.0,0.0,627,,
106,2.485,0,,,0.0,0.0,627,,
