i,t,angle_deg,omega_deg_s
228,7.5993,255.53,-123.8
229,7.6326,251.45,-124.0
230,7.6657,247.29,-130.2
231,7.6983,242.90,-132.0
232,7.7337,238.34,-128.9
233,7.7667,234.08,-131.0
234,7.7986,229.84,-127.6
235,7.8325,225.71,-121.7
236,7.8669,221.53,-128.3
237,7.8991,217.19,-131.3
238,7.9327,212.90,-129.7
239,7.9659,208.53,-130.9
240,7.9986,204.27,-130.2
